"Read Details","Ler Detalhes",module,Magento_AdminNotification
"Mark as Read","Marcar como Lido",module,Magento_AdminNotification
"Are you sure?","Você tem certeza?",module,Magento_AdminNotification
Remove,Remover,module,Magento_AdminNotification
"Messages Inbox","Caixa de Entrada de Mensagens",module,Magento_AdminNotification
"You have %1 new system messages","Você têm novas mensagens do sistema %1",module,Magento_AdminNotification
"You have %1 new system message","Você tem %1 nova(s) mensagem(ns) de sistema",module,Magento_AdminNotification
"Incoming Message","Nova mensagem",module,Magento_AdminNotification
close,fechar,module,Magento_AdminNotification
Notifications,Notificações,module,Magento_AdminNotification
"The message has been marked as Read.","A mensagem foi marcada como Lida.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Não foi possível marcar a notificação como Lida porque ocorreu um erro.",module,Magento_AdminNotification
"Please select messages.","Por favor, selecione as mensagens.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Um total de %1 registro(s) foi marcado como Lido.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Um total de %1 registro(s) foi removido.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Não foi possível remover as mensagens porque ocorreu um erro.",module,Magento_AdminNotification
"The message has been removed.","A mensagem foi removida.",module,Magento_AdminNotification
"1 Hour","1 Hora",module,Magento_AdminNotification
"2 Hours","2 Horas",module,Magento_AdminNotification
"6 Hours","6 Horas",module,Magento_AdminNotification
"12 Hours","12 Horas",module,Magento_AdminNotification
"24 Hours","24 Horas",module,Magento_AdminNotification
critical,crítico,module,Magento_AdminNotification
major,importante,module,Magento_AdminNotification
minor,secundário,module,Magento_AdminNotification
notice,aviso,module,Magento_AdminNotification
"Wrong message type","Tipo de mensagem incorreto",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Por favor, acesse o <a href=""%1"">Gerenciamento de Cache</a> e atualize tipos de cache.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Sincronização dos armazenamentos de mídia foi concluída.",module,Magento_AdminNotification
"Close popup","Fechar pop-up",module,Magento_AdminNotification
Close,Fechar,module,Magento_AdminNotification
"Critical System Messages","Mensagens do sistema crítica",module,Magento_AdminNotification
"Major System Messages","Principais mensagens do sistema",module,Magento_AdminNotification
"System messages","Mensagem do sistema",module,Magento_AdminNotification
"You created the order.","Você criou o pedido.",module,Magento_Authorizenet
"Order saving error: %1","Erro na gravação do pedido: %1",module,Magento_Authorizenet
"Please choose a payment method.","Por favor, escolha um método de pagamento.",module,Magento_Authorizenet
"Credit Card: xxxx-%1","Cartão de crédito: xxxx-%1",module,Magento_Authorizenet
"amount %1","montante %1",module,Magento_Authorizenet
authorize,autorizar,module,Magento_Authorizenet
"authorize and capture","autorizar e capturar",module,Magento_Authorizenet
capture,capturar,module,Magento_Authorizenet
refund,reembolsar,module,Magento_Authorizenet
void,anular,module,Magento_Authorizenet
"Gateway error: %1","Erro no gateway: %1",module,Magento_Authorizenet
"Something went wrong in the payment gateway.","Algo deu errado no gateway de pagamento.",module,Magento_Authorizenet
"Invalid amount for capture.","Valor inválido para captura.",module,Magento_Authorizenet
"Payment capturing error.","Erro na captura do pagamento.",module,Magento_Authorizenet
"Invalid transaction ID.","ID da transação inválido.",module,Magento_Authorizenet
"Payment voiding error.","Erro no cancelamento do pagamento.",module,Magento_Authorizenet
"Invalid amount for refund.","Valor inválido para reembolso.",module,Magento_Authorizenet
"Payment refunding error.","Erro no estorno do pagamento.",module,Magento_Authorizenet
"The transaction was declined because the response hash validation failed.","A transação foi recusada porque a validação do hash da resposta falhou.",module,Magento_Authorizenet
"There was a payment authorization error.","Houve um erro na autorização do pagamento.",module,Magento_Authorizenet
"Authorize Only","Apenas Autorizar",module,Magento_Authorizenet
"Authorize and Capture","Autorizar e Capturar",module,Magento_Authorizenet
"Credit Card Type","Tipo do Cartão de Crédito",module,Magento_Authorizenet
"Credit Card Number","Número do Cartão de Crédito",module,Magento_Authorizenet
"Expiration Date","Data de Validade",module,Magento_Authorizenet
"Card Verification Number","Código de Verificação do Cartão",module,Magento_Authorizenet
"Invalid Form Key. Please refresh the page.","Salvar Conta",module,Magento_Backend
"You entered an invalid Secret Key. Please refresh the page.","Você inseriu uma Chave Secreta inválida. Por favor, atualize a página.",module,Magento_Backend
"Cache Storage Management","Gerenciamento de Cache",module,Magento_Backend
"Flush Magento Cache","Liberar Cache do Magento",module,Magento_Backend
"Flush Cache Storage","Liberar Cache Armazenado",module,Magento_Backend
Invalidated,Invalidado,module,Magento_Backend
Orders,Pedidos,module,Magento_Backend
Amounts,Montantes,module,Magento_Backend
Bestsellers,"Mais Vendidos",module,Magento_Backend
"Most Viewed Products","Produtos Mais Visualizados",module,Magento_Backend
"New Customers","Novos Clientes",module,Magento_Backend
Customers,Clientes,module,Magento_Backend
Customer,Cliente,module,Magento_Backend
Guest,Visitante,module,Magento_Backend
Items,Itens,module,Magento_Backend
"Lifetime Sales","Vendas Acumuladas",module,Magento_Backend
"Average Order","Ticket Médio",module,Magento_Backend
Average,Média,module,Magento_Backend
Product,Produto,module,Magento_Backend
Price,Preço,module,Magento_Backend
Quantity,Quantidade,module,Magento_Backend
Views,Visões,module,Magento_Backend
Revenue,Receita,module,Magento_Backend
Tax,Taxa,module,Magento_Backend
Shipping,Frete,module,Magento_Backend
"Images (.gif, .jpg, .png)","Imagens (. gif,. jpg,. png)",module,Magento_Backend
"Media (.avi, .flv, .swf)","Mídia (.avi, .flv, .swf)",module,Magento_Backend
"All Files","Todos os Arquivos",module,Magento_Backend
"Reset to Default","Voltar ao Padrão",module,Magento_Backend
"All Store Views","Todas as Visões de Loja",module,Magento_Backend
"What is this?","O que é isto?",module,Magento_Backend
"Save Account","Salvar Conta",module,Magento_Backend
"My Account","Minha Conta",module,Magento_Backend
"Account Information","Informações da Conta",module,Magento_Backend
"User Name","Nome de Usuário",module,Magento_Backend
"First Name",Nome,module,Magento_Backend
"Last Name",Sobrenome,module,Magento_Backend
Email,E-mail,module,Magento_Backend
"User Email","E-mail de Usuário",module,Magento_Backend
"New Password","Nova Senha",module,Magento_Backend
"Password Confirmation","Confirmação de Senha",module,Magento_Backend
"Interface Locale","Idioma da interface",module,Magento_Backend
"Current User Identity Verification","Verificação de identidade do usuário atual",module,Magento_Backend
"Your Password","Sua Senha",module,Magento_Backend
"Save Cache Settings","Salvar Configurações de Cache",module,Magento_Backend
"Catalog Rewrites","Reescrita de Catálogo",module,Magento_Backend
Refresh,Atualizar,module,Magento_Backend
"Images Cache","Cache de Imagens",module,Magento_Backend
Clear,Limpar,module,Magento_Backend
"Search Index","Índice de Pesquisa",module,Magento_Backend
Rebuild,Recriar,module,Magento_Backend
"Inventory Stock Status","Status do Estoque",module,Magento_Backend
"Rebuild Catalog Index","Reconstruir Índice do Catálogo",module,Magento_Backend
"Rebuild Flat Catalog Category","Reconstruir Tabela Flat de Categoria",module,Magento_Backend
"Rebuild Flat Catalog Product","Reconstruir Tabela Flat de Produtos",module,Magento_Backend
"Cache Control","Controle de Cache",module,Magento_Backend
"All Cache","Todo Cache",module,Magento_Backend
